tanggal,open price,high price,low price,close price
2025-01-17,3.0700,3.1000,2.9000,3.1000
2025-01-21,3.0800,3.7500,2.9500,3.3400
2025-01-22,3.1300,3.2841,3.0400,3.0900
2025-01-23,3.1000,3.1700,2.9900,3.0100
2025-01-24,3.0300,3.1000,2.8600,2.8900
2025-01-27,2.8600,2.8800,2.5800,2.6300
2025-01-28,2.7000,2.7700,2.6300,2.7600
2025-01-29,2.7500,2.7999,2.7200,2.7800
2025-01-30,2.7700,2.8052,2.7100,2.7300
2025-01-31,2.7300,2.7500,2.6602,2.6800
2025-02-03,2.8200,3.0373,2.7300,2.7600
2025-02-04,2.7400,2.8380,2.7200,2.8100
2025-02-05,2.8200,2.8600,2.7900,2.8400
2025-02-06,2.8000,2.8599,2.7400,2.7400
2025-02-07,2.7800,2.7899,2.6700,2.7000
2025-02-10,2.6800,2.7800,2.6800,2.7800
2025-02-11,2.8000,2.8500,2.7300,2.7800
2025-02-12,2.7800,2.9000,2.7800,2.8000
2025-02-13,2.7700,2.8500,2.7700,2.8100
2025-02-14,2.8400,2.8400,2.7700,2.7700
2025-02-18,2.7900,2.8599,2.7800,2.7800
2025-02-19,2.8400,3.0300,2.8400,2.9100
2025-02-20,2.9100,2.9400,2.8700,2.8700
2025-02-21,2.8800,2.9100,2.7600,2.7900
2025-02-24,2.8300,2.8400,2.7100,2.7800
2025-02-25,2.7500,2.8300,2.6100,2.7000
2025-02-26,2.6800,2.7700,2.6300,2.6300
2025-02-27,2.6300,2.7200,2.6000,2.7000
2025-02-28,2.7000,2.7300,2.5600,2.7000
2025-03-03,2.7200,2.7599,2.6100,2.6500
2025-03-04,2.6000,2.6700,2.5300,2.5600
2025-03-05,2.5800,2.6600,2.5100,2.6400
2025-03-06,2.6400,2.6400,2.5300,2.6200
2025-03-07,2.5900,2.7200,2.5800,2.6000
2025-03-10,2.6000,2.6900,2.5000,2.5400
2025-03-11,2.5900,2.6100,2.5100,2.5600
2025-03-12,2.5400,2.5900,2.5300,2.5300
2025-03-13,2.5400,2.6100,2.5400,2.6000
2025-03-14,2.5800,2.7400,2.5800,2.7000
2025-03-17,2.7700,2.9500,2.7350,2.9000
2025-03-18,2.9500,2.9900,2.8001,2.9100
2025-03-19,2.9200,3.0409,2.7601,2.8500
2025-03-20,2.8500,2.9500,2.7906,2.9500
2025-03-21,2.9000,2.9550,2.8000,2.8400
2025-03-24,2.8100,2.9000,2.6801,2.7200
2025-03-25,2.7300,2.7700,2.6531,2.7400
2025-03-26,2.7500,2.9000,2.7500,2.8100
2025-03-27,2.8000,2.8100,2.7300,2.7900
2025-03-28,2.7600,2.8500,2.7100,2.7900
2025-03-31,2.8200,3.0200,2.7101,2.7700
2025-04-01,2.8100,2.8900,2.7900,2.8200
2025-04-02,2.7800,2.8497,2.7200,2.7900
2025-04-03,2.6800,2.7200,2.5600,2.6000
2025-04-04,2.5000,2.5483,2.2200,2.3100
2025-04-07,2.2500,2.3400,2.1000,2.2600
2025-04-08,2.3500,2.3500,2.1200,2.2000
2025-04-09,2.1800,2.3200,2.1500,2.3000
2025-04-10,2.2200,2.2304,2.1400,2.1400
2025-04-11,2.1800,2.3800,2.1700,2.3500
2025-04-14,2.3400,2.3800,2.2501,2.2700
2025-04-15,2.2900,2.3100,2.2300,2.2300
2025-04-16,2.3500,2.4576,2.2900,2.3800
2025-04-17,2.3600,2.4900,2.3407,2.3740
2025-04-21,2.3700,2.3850,2.2100,2.2300
2025-04-22,2.2842,2.3300,2.2300,2.3000
2025-04-23,2.3000,2.3600,2.2400,2.2800
2025-04-24,2.2800,2.3304,2.2300,2.2600
2025-04-25,2.3000,2.3800,2.2500,2.3300
2025-04-28,2.3100,2.3300,2.2700,2.3000
2025-04-29,2.2900,2.3500,2.2700,2.3000
2025-04-30,2.2700,2.3800,2.2300,2.3300
2025-05-01,2.3200,2.5600,2.2600,2.4400
2025-05-02,2.3900,2.4400,2.3105,2.3600
2025-05-05,2.3600,2.3700,2.2990,2.3500
2025-05-06,2.3600,2.4400,2.3200,2.3300
2025-05-07,2.5200,2.6200,2.4200,2.6200
2025-05-08,2.5800,2.6122,2.4700,2.5300
2025-05-09,2.5500,2.5899,2.4800,2.5600
2025-05-12,2.3800,2.4700,2.3700,2.3900
2025-05-13,2.4000,2.5000,2.4000,2.4400
2025-05-14,2.4100,2.4400,2.3800,2.3900
2025-05-15,2.3600,2.3600,2.2800,2.3100
2025-05-16,2.3200,2.3391,2.2800,2.3100
2025-05-19,2.2800,2.3188,2.2500,2.3100
2025-05-20,2.2900,2.3250,2.2800,2.2900
2025-05-21,2.4100,2.5900,2.4000,2.5400
2025-05-22,2.4700,2.5281,2.4001,2.4500
2025-05-23,2.4500,2.6700,2.4001,2.6500
2025-05-27,2.6400,2.6400,2.5000,2.5200
2025-05-28,2.5100,2.5999,2.5100,2.5600
2025-05-29,2.5900,2.5900,2.4000,2.4600
2025-05-30,2.4700,2.5600,2.4300,2.5100
2025-06-02,2.6000,2.6180,2.4700,2.5700
2025-06-03,2.5800,2.5800,2.4400,2.5300
2025-06-04,2.4900,2.5400,2.4652,2.5100
2025-06-05,2.5300,2.5400,2.4650,2.4800
2025-06-06,2.4800,2.6500,2.4500,2.5700
2025-06-09,2.6000,2.8000,2.5200,2.7000
2025-06-10,2.7600,2.7900,2.6500,2.7000
2025-06-11,2.7500,3.5000,2.7000,3.2300
